,Trial-ID,Status,Iteration,hidden1,hidden2,hidden_pm,hidden_tooth,hidden_winding,hidden_yoke,input_rec,lr,output_rec,window,Objective
450,226,INTERMEDIATE,1,14.0,19.0,14.0,8.0,12.0,9.0,1.0,0.001,0.0,10.0,204.17529710754752
451,226,COMPLETED,1,14.0,19.0,14.0,8.0,12.0,9.0,1.0,0.001,0.0,10.0,204.17529710754752
452,227,INTERMEDIATE,1,17.0,19.0,13.0,10.0,11.0,9.0,0.0,0.001,0.0,10.0,271.9481760635972
453,227,COMPLETED,1,17.0,19.0,13.0,10.0,11.0,9.0,0.0,0.001,0.0,10.0,271.9481760635972
454,228,INTERMEDIATE,1,13.0,28.0,19.0,6.0,8.0,10.0,0.0,0.001,1.0,1.0,249.86327919736505
455,228,COMPLETED,1,13.0,28.0,19.0,6.0,8.0,10.0,0.0,0.001,1.0,1.0,249.86327919736505
456,229,INTERMEDIATE,1,38.0,34.0,3.0,17.0,14.0,3.0,0.0,0.001,0.0,2.0,215.52260794490576
457,229,COMPLETED,1,38.0,34.0,3.0,17.0,14.0,3.0,0.0,0.001,0.0,2.0,215.52260794490576
458,230,INTERMEDIATE,1,16.0,45.0,14.0,18.0,19.0,5.0,0.0,0.001,0.0,8.0,244.53903072699904
459,230,COMPLETED,1,16.0,45.0,14.0,18.0,19.0,5.0,0.0,0.001,0.0,8.0,244.53903072699904
460,231,INTERMEDIATE,1,36.0,10.0,13.0,15.0,7.0,9.0,1.0,0.001,1.0,1.0,162.13320331368595
461,231,COMPLETED,1,36.0,10.0,13.0,15.0,7.0,9.0,1.0,0.001,1.0,1.0,162.13320331368595
462,232,INTERMEDIATE,1,30.0,18.0,16.0,20.0,3.0,12.0,0.0,0.001,1.0,3.0,185.66589109040797
463,232,COMPLETED,1,30.0,18.0,16.0,20.0,3.0,12.0,0.0,0.001,1.0,3.0,185.66589109040797
464,233,INTERMEDIATE,1,36.0,17.0,10.0,3.0,7.0,11.0,0.0,0.001,0.0,5.0,367.40693585947156
465,233,COMPLETED,1,36.0,17.0,10.0,3.0,7.0,11.0,0.0,0.001,0.0,5.0,367.40693585947156
466,234,INTERMEDIATE,1,19.0,37.0,6.0,11.0,9.0,5.0,1.0,0.001,0.0,4.0,157.8248768467456
467,234,COMPLETED,1,19.0,37.0,6.0,11.0,9.0,5.0,1.0,0.001,0.0,4.0,157.8248768467456
468,235,INTERMEDIATE,1,15.0,36.0,9.0,10.0,10.0,5.0,0.0,0.001,1.0,9.0,206.37220991775393
469,235,COMPLETED,1,15.0,36.0,9.0,10.0,10.0,5.0,0.0,0.001,1.0,9.0,206.37220991775393
470,236,INTERMEDIATE,1,45.0,40.0,10.0,19.0,17.0,8.0,1.0,0.001,0.0,5.0,282.84174590557814
471,236,COMPLETED,1,45.0,40.0,10.0,19.0,17.0,8.0,1.0,0.001,0.0,5.0,282.84174590557814
472,237,INTERMEDIATE,1,50.0,29.0,3.0,9.0,13.0,16.0,0.0,0.001,0.0,9.0,621.8360779732466
473,237,COMPLETED,1,50.0,29.0,3.0,9.0,13.0,16.0,0.0,0.001,0.0,9.0,621.8360779732466
474,238,INTERMEDIATE,1,13.0,30.0,14.0,6.0,5.0,14.0,0.0,0.001,0.0,3.0,208.76615891605616
475,238,COMPLETED,1,13.0,30.0,14.0,6.0,5.0,14.0,0.0,0.001,0.0,3.0,208.76615891605616
476,239,INTERMEDIATE,1,48.0,42.0,12.0,16.0,17.0,9.0,1.0,0.001,1.0,6.0,212.59106841497123
477,239,COMPLETED,1,48.0,42.0,12.0,16.0,17.0,9.0,1.0,0.001,1.0,6.0,212.59106841497123
478,240,INTERMEDIATE,1,44.0,10.0,8.0,17.0,11.0,5.0,0.0,0.001,1.0,10.0,336.1563540622592
479,240,COMPLETED,1,44.0,10.0,8.0,17.0,11.0,5.0,0.0,0.001,1.0,10.0,336.1563540622592
480,241,INTERMEDIATE,1,48.0,12.0,8.0,9.0,8.0,3.0,1.0,0.001,1.0,5.0,185.63235472142696
