,Trial-ID,Status,Iteration,batch_size,conv1,conv2,conv3,conv6,h1,h2,lr,Objective
19,10,COMPLETED,1,512.0,3.0,3.0,2.0,3.0,41.0,37.0,0.03413054048936898,0.826699377830241
20,11,INTERMEDIATE,1,2048.0,4.0,2.0,4.0,2.0,55.0,50.0,0.03498936002384939,0.8392526746554433
21,11,COMPLETED,1,2048.0,4.0,2.0,4.0,2.0,55.0,50.0,0.03498936002384939,0.8392526746554433
22,12,INTERMEDIATE,1,2048.0,4.0,2.0,4.0,2.0,55.0,52.0,0.03925525069071715,0.8654119474497544
23,12,COMPLETED,1,2048.0,4.0,2.0,4.0,2.0,55.0,52.0,0.03925525069071715,0.8654119474497544
24,13,INTERMEDIATE,1,2048.0,4.0,3.0,4.0,2.0,59.0,44.0,0.013711643117853892,0.9215144814423144
25,13,COMPLETED,1,2048.0,4.0,3.0,4.0,2.0,59.0,44.0,0.013711643117853892,0.9215144814423144
26,14,INTERMEDIATE,1,2048.0,4.0,2.0,4.0,2.0,55.0,51.0,0.037340111775291215,0.9088431854028741
27,14,COMPLETED,1,2048.0,4.0,2.0,4.0,2.0,55.0,51.0,0.037340111775291215,0.9088431854028741
28,15,INTERMEDIATE,1,512.0,3.0,4.0,3.0,4.0,24.0,30.0,0.04704438072162923,0.8420754478298162
29,15,COMPLETED,1,512.0,3.0,4.0,3.0,4.0,24.0,30.0,0.04704438072162923,0.8420754478298162
30,16,INTERMEDIATE,1,1024.0,3.0,4.0,5.0,2.0,55.0,51.0,0.005527200489044382,0.9871158741347248
31,16,COMPLETED,1,1024.0,3.0,4.0,5.0,2.0,55.0,51.0,0.005527200489044382,0.9871158741347248
32,17,INTERMEDIATE,1,1024.0,3.0,5.0,3.0,3.0,42.0,37.0,0.016034766432150717,0.8194653380950301
33,17,COMPLETED,1,1024.0,3.0,5.0,3.0,3.0,42.0,37.0,0.016034766432150717,0.8194653380950301
34,18,INTERMEDIATE,1,1024.0,3.0,5.0,4.0,2.0,42.0,37.0,0.02298134953051659,1.070446459185045
35,18,COMPLETED,1,1024.0,3.0,5.0,4.0,2.0,42.0,37.0,0.02298134953051659,1.070446459185045
36,19,INTERMEDIATE,1,2048.0,4.0,5.0,3.0,5.0,56.0,48.0,0.013385235287722938,0.7932465652752639
37,19,COMPLETED,1,2048.0,4.0,5.0,3.0,5.0,56.0,48.0,0.013385235287722938,0.7932465652752639
38,20,INTERMEDIATE,1,2048.0,2.0,4.0,4.0,2.0,40.0,53.0,0.03545798569234604,0.8244149855159091
39,20,COMPLETED,1,2048.0,2.0,4.0,4.0,2.0,40.0,53.0,0.03545798569234604,0.8244149855159091
40,21,INTERMEDIATE,1,512.0,4.0,4.0,2.0,4.0,26.0,58.0,0.045028080158570266,0.781546780295925
41,21,COMPLETED,1,512.0,4.0,4.0,2.0,4.0,26.0,58.0,0.045028080158570266,0.781546780295925
42,22,INTERMEDIATE,1,1024.0,2.0,5.0,3.0,7.0,61.0,49.0,0.005502441311432124,0.8247093444502709
43,22,COMPLETED,1,1024.0,2.0,5.0,3.0,7.0,61.0,49.0,0.005502441311432124,0.8247093444502709
44,23,INTERMEDIATE,1,2048.0,4.0,3.0,3.0,7.0,22.0,52.0,0.02141932226126225,0.8072152336438586
45,23,COMPLETED,1,2048.0,4.0,3.0,3.0,7.0,22.0,52.0,0.02141932226126225,0.8072152336438586
46,24,INTERMEDIATE,1,1024.0,5.0,2.0,2.0,5.0,41.0,17.0,0.04616019381224198,0.8335991897904375
47,24,COMPLETED,1,1024.0,5.0,2.0,2.0,5.0,41.0,17.0,0.04616019381224198,0.8335991897904375
48,25,INTERMEDIATE,1,1024.0,4.0,2.0,3.0,4.0,39.0,53.0,0.036519380069203244,0.9716987975956218
49,25,COMPLETED,1,1024.0,4.0,2.0,3.0,4.0,39.0,53.0,0.036519380069203244,0.9716987975956218
50,26,INTERMEDIATE,1,512.0,2.0,3.0,3.0,4.0,23.0,27.0,0.047826287419526596,0.7950536581943356
51,26,COMPLETED,1,512.0,2.0,3.0,3.0,4.0,23.0,27.0,0.047826287419526596,0.7950536581943356
52,27,INTERMEDIATE,1,1024.0,3.0,5.0,2.0,3.0,43.0,37.0,0.012620171319791929,0.8472399104454283
53,27,COMPLETED,1,1024.0,3.0,5.0,2.0,3.0,43.0,37.0,0.012620171319791929,0.8472399104454283
54,28,INTERMEDIATE,1,1024.0,3.0,2.0,3.0,3.0,63.0,54.0,0.008467899286495897,0.8421177000539256
55,28,COMPLETED,1,1024.0,3.0,2.0,3.0,3.0,63.0,54.0,0.008467899286495897,0.8421177000539256
56,29,INTERMEDIATE,1,2048.0,2.0,2.0,3.0,7.0,54.0,45.0,0.006209119085284546,0.9219739464424256
57,29,COMPLETED,1,2048.0,2.0,2.0,3.0,7.0,54.0,45.0,0.006209119085284546,0.9219739464424256
58,30,INTERMEDIATE,1,512.0,5.0,4.0,4.0,7.0,44.0,50.0,0.03138275224964426,0.8026719655580855
59,30,COMPLETED,1,512.0,5.0,4.0,4.0,7.0,44.0,50.0,0.03138275224964426,0.8026719655580855
60,31,INTERMEDIATE,1,1024.0,3.0,2.0,3.0,7.0,27.0,39.0,0.031955413405702064,1.0202346549466508
61,31,COMPLETED,1,1024.0,3.0,2.0,3.0,7.0,27.0,39.0,0.031955413405702064,1.0202346549466508
62,32,INTERMEDIATE,1,2048.0,5.0,2.0,4.0,6.0,29.0,52.0,0.026180534455358662,0.9175772097031341
63,32,COMPLETED,1,2048.0,5.0,2.0,4.0,6.0,29.0,52.0,0.026180534455358662,0.9175772097031341
64,33,INTERMEDIATE,1,2048.0,4.0,5.0,2.0,5.0,56.0,48.0,0.03584457921410811,0.7885962171048354
65,33,COMPLETED,1,2048.0,4.0,5.0,2.0,5.0,56.0,48.0,0.03584457921410811,0.7885962171048354
66,34,INTERMEDIATE,1,1024.0,3.0,5.0,2.0,5.0,55.0,47.0,0.03783788362753088,0.8401134673085554
67,34,COMPLETED,1,1024.0,3.0,5.0,2.0,5.0,55.0,47.0,0.03783788362753088,0.8401134673085554
68,35,INTERMEDIATE,1,512.0,2.0,4.0,3.0,3.0,41.0,37.0,0.048310633606919964,0.67476306682666
69,35,COMPLETED,1,512.0,2.0,4.0,3.0,3.0,41.0,37.0,0.048310633606919964,0.67476306682666
70,36,INTERMEDIATE,1,2048.0,2.0,4.0,2.0,7.0,31.0,31.0,0.009705170998123175,0.8218988948699004
71,36,COMPLETED,1,2048.0,2.0,4.0,2.0,7.0,31.0,31.0,0.009705170998123175,0.8218988948699004
72,37,INTERMEDIATE,1,2048.0,5.0,4.0,3.0,6.0,57.0,48.0,0.008728209172585101,0.9335695290653544
73,37,COMPLETED,1,2048.0,5.0,4.0,3.0,6.0,57.0,48.0,0.008728209172585101,0.9335695290653544
74,38,INTERMEDIATE,1,1024.0,3.0,5.0,3.0,6.0,54.0,46.0,0.03517717123261029,0.8460594009412595
75,38,COMPLETED,1,1024.0,3.0,5.0,3.0,6.0,54.0,46.0,0.03517717123261029,0.8460594009412595
76,39,INTERMEDIATE,1,2048.0,2.0,3.0,3.0,4.0,41.0,38.0,0.045654818355191557,0.9462690526163144
77,39,COMPLETED,1,2048.0,2.0,3.0,3.0,4.0,41.0,38.0,0.045654818355191557,0.9462690526163144
78,40,INTERMEDIATE,1,512.0,2.0,2.0,5.0,3.0,63.0,43.0,0.014214324986870776,0.9133622945295172
79,40,COMPLETED,1,512.0,2.0,2.0,5.0,3.0,63.0,43.0,0.014214324986870776,0.9133622945295172
80,41,INTERMEDIATE,1,1024.0,5.0,5.0,5.0,6.0,54.0,53.0,0.03776361310923604,0.9444554496045873
81,41,COMPLETED,1,1024.0,5.0,5.0,5.0,6.0,54.0,53.0,0.03776361310923604,0.9444554496045873
82,42,INTERMEDIATE,1,1024.0,5.0,3.0,4.0,7.0,23.0,31.0,0.006694170462289511,0.923816357689142
83,42,COMPLETED,1,1024.0,5.0,3.0,4.0,7.0,23.0,31.0,0.006694170462289511,0.923816357689142
84,43,INTERMEDIATE,1,512.0,3.0,2.0,2.0,3.0,18.0,30.0,0.04494189291536939,1.1209564452801875
85,43,COMPLETED,1,512.0,3.0,2.0,2.0,3.0,18.0,30.0,0.04494189291536939,1.1209564452801875
