,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride2,stride3,stride4,Objective
0,1,INTERMEDIATE,1,512.0,22.0,26.0,1.0,1.0,1.0,1.0,0.04942303882532329,64.0,19.0,1.0,1.0,1.0,1.0,0.03290227814111009
1,1,COMPLETED,1,512.0,22.0,26.0,1.0,1.0,1.0,1.0,0.04942303882532329,64.0,19.0,1.0,1.0,1.0,1.0,0.03290227814111009
2,2,INTERMEDIATE,1,512.0,28.0,33.0,1.0,1.0,1.0,1.0,0.04826757357640074,82.0,86.0,1.0,1.0,1.0,1.0,0.034192508004074654
3,2,COMPLETED,1,512.0,28.0,33.0,1.0,1.0,1.0,1.0,0.04826757357640074,82.0,86.0,1.0,1.0,1.0,1.0,0.034192508004074654
4,3,INTERMEDIATE,1,512.0,43.0,33.0,1.0,1.0,1.0,1.0,0.03965470659639078,40.0,46.0,1.0,1.0,1.0,1.0,4.5634416051379475e-05
5,3,COMPLETED,1,512.0,43.0,33.0,1.0,1.0,1.0,1.0,0.03965470659639078,40.0,46.0,1.0,1.0,1.0,1.0,4.5634416051379475e-05
6,4,INTERMEDIATE,1,256.0,48.0,37.0,1.0,1.0,1.0,1.0,0.009155929884907675,70.0,15.0,1.0,1.0,1.0,1.0,0.0011539672371695274
7,4,COMPLETED,1,256.0,48.0,37.0,1.0,1.0,1.0,1.0,0.009155929884907675,70.0,15.0,1.0,1.0,1.0,1.0,0.0011539672371695274
8,5,INTERMEDIATE,1,2048.0,43.0,36.0,1.0,1.0,1.0,1.0,0.004271815386114013,84.0,61.0,1.0,1.0,1.0,1.0,1.1075588447106353e-05
9,5,COMPLETED,1,2048.0,43.0,36.0,1.0,1.0,1.0,1.0,0.004271815386114013,84.0,61.0,1.0,1.0,1.0,1.0,1.1075588447106353e-05
10,6,INTERMEDIATE,1,1024.0,30.0,23.0,1.0,1.0,1.0,1.0,0.041377085358351155,17.0,99.0,1.0,1.0,1.0,1.0,2.5668872675119948e-05
11,6,COMPLETED,1,1024.0,30.0,23.0,1.0,1.0,1.0,1.0,0.041377085358351155,17.0,99.0,1.0,1.0,1.0,1.0,2.5668872675119948e-05
12,7,INTERMEDIATE,1,1024.0,28.0,25.0,1.0,1.0,1.0,1.0,0.04270715909583056,77.0,20.0,1.0,1.0,1.0,1.0,0.0329792120579203
13,7,COMPLETED,1,1024.0,28.0,25.0,1.0,1.0,1.0,1.0,0.04270715909583056,77.0,20.0,1.0,1.0,1.0,1.0,0.0329792120579203
14,8,INTERMEDIATE,1,2048.0,46.0,18.0,1.0,1.0,1.0,1.0,0.0248572242441933,91.0,75.0,1.0,1.0,1.0,1.0,0.00017088587574757219
15,8,COMPLETED,1,2048.0,46.0,18.0,1.0,1.0,1.0,1.0,0.0248572242441933,91.0,75.0,1.0,1.0,1.0,1.0,0.00017088587574757219
